Word,Rank,Frequency
to,1,5183
the,2,4844
and,3,4672
of,4,4279
I,5,3178
a,6,3004
was,7,2385
her,8,2381
it,9,2128
in,10,2118
not,11,2101
be,12,1970
she,13,1778
that,14,1730
you,15,1677
had,16,1606
as,17,1387
--,18,1382
he,19,1365
for,20,1321
have,21,1301
is,22,1220
with,23,1187
Mr,24,1153
very,25,1151
but,26,1148
.",27,1138
his,28,1088
at,29,997
s,30,933
so,31,924
Emma,32,865
all,33,835
could,34,825
would,35,815
been,36,759
him,37,758
Mrs,38,699
.--,39,685
on,40,677
any,41,651
my,42,619
no,43,616
Miss,44,592
were,45,591
do,46,580
me,47,564
must,48,564
She,49,562
will,50,559
by,51,558
which,52,552
from,53,535
Harriet,54,506
or,55,490
said,56,484
much,57,478
more,58,464
an,59,452
are,60,447
He,61,441
such,62,440
Weston,63,439
what,64,434
them,65,432
am,66,422
|,"|,67,421
there,68,420
this,69,418
than,70,415
one,71,413
It,72,400
thing,73,398
every,74,398
they,75,392
Knightley,76,389
Elton,77,385
think,78,380
if,79,375
should,80,366
The,81,357
being,82,356
little,83,354
never,84,347
good,85,340
!--,86,338
know,87,337
your,88,337
did,89,335
only,90,327
might,91,322
well,92,315
Woodhouse,93,313
when,94,312
say,95,308
You,96,303
Jane,97,301
own,98,301
their,99,297
But,100,293
who,101,281
herself,102,279
now,103,273
time,104,272
can,105,270
quite,106,269
great,107,263
how,108,263
we,109,260
too,110,253
some,111,248
about,112,246
before,113,243
has,114,243
most,115,243
Fairfax,116,241
nothing,117,237
always,118,235
man,119,233
?",120,230
thought,121,226
And,122,224
Churchill,123,223
soon,124,221
other,125,220
see,126,220
again,127,219
dear,128,217
may,129,213
shall,130,212
out,131,212
without,132,211
first,133,209
Frank,134,208
father,135,207
sure,136,204
?--,137,200
like,138,199
made,139,199
body,140,193
day,141,190
up,142,190
young,143,190
ever,144,189
Oh,145,185
indeed,146,181
friend,147,177
two,148,171
though,149,169
better,150,166
into,151,163
Hartfield,152,160
come,153,159
just,154,159
give,155,157
way,156,155
really,157,153
make,158,152
then,159,150
Bates,160,148
They,161,148
himself,162,146
us,163,145
having,164,145
rather,165,145
long,166,144
hope,167,143
done,168,142
seemed,169,141
after,170,140
over,171,139
away,172,138
cannot,173,138
wish,174,134
here,175,133
upon,176,133
many,177,133
home,178,130
go,179,129
There,180,129
enough,181,129
woman,182,129
mind,183,128
No,184,126
Highbury,185,125
does,186,125
A,187,125
;--,188,124
even,189,122
happy,190,122
heard,191,120
moment,192,120
last,193,119
came,194,119
going,195,118
its,196,118
room,197,117
love,198,117
half,199,116
look,200,116
take,201,116
pleasure,202,114
however,203,114
felt,204,113
while,205,113
sort,206,112
If,207,110
morning,208,110
letter,209,109
still,210,109
This,211,108
saw,212,108
My,213,108
How,214,108
yet,215,106
another,216,106
poor,217,106
few,218,106
something,219,105
myself,220,102
feelings,221,102
same,222,102
What,223,102
believe,224,101
hear,225,100
idea,226,100
off,227,99
speak,228,99
doubt,229,98
subject,230,97
evening,231,96
party,232,96
house,233,95
feel,234,95
till,235,95
ought,236,94
word,237,94
people,238,93
found,239,92
right,240,92
place,241,92
deal,242,92
looked,243,91
Randalls,244,90
John,245,90
often,246,90
certainly,247,90
want,248,89
We,249,89
coming,250,89
present,251,89
our,252,89
Smith,253,89
Her,254,88
knew,255,88
Yes,256,88
those,257,87
almost,258,87
Well,259,86
visit,260,86
--",261,85
least,262,85
best,263,85
Martin,264,85
old,265,85
possible,266,84
both,267,83
hour,268,83
once,269,82
kind,270,82
friends,271,82
together,272,81
perhaps,273,81
cried,274,81
world,275,81
Perry,276,80
suppose,277,80
life,278,80
else,279,80
gone,280,79
replied,281,79
told,282,78
family,283,77
given,284,77
That,285,76
obliged,286,76
happiness,287,76
whole,288,76
manner,289,75
wanted,290,75
find,291,74
seen,292,73
tell,293,73
able,294,72
mother,295,72
lady,296,72
ill,297,72
side,298,71
hardly,299,71
between,300,71
where,301,71
whom,302,71
opinion,303,71
far,304,70
In,305,70
down,306,70
looking,307,69
Isabella,308,69
carriage,309,69
immediately,310,69
understand,311,68
three,312,68
left,313,68
less,314,68
wife,315,68
get,316,67
back,317,67
short,318,67
person,319,67
ready,320,66
pretty,321,66
part,322,66
heart,323,66
talked,324,66
towards,325,65
extremely,326,65
perfectly,327,65
comfort,328,65
afraid,329,65
let,330,64
began,331,64
answer,332,64
general,333,64
spirits,334,64
situation,335,64
since,336,63
set,337,63
put,338,63
nor,339,63
next,340,63
acquaintance,341,63
sir,342,63
marry,343,63
daughter,344,62
therefore,345,62
through,346,61
Cole,347,61
under,348,61
either,349,61
whether,350,61
sorry,351,61
change,352,61
course,353,61
thinking,354,60
others,355,60
things,356,60
talk,357,60
Do,358,60
true,359,60
known,360,60
dare,361,59
assure,362,59
Goddard,363,59
longer,364,59
children,365,59
account,366,59
attention,367,59
superior,368,59
mean,369,59
bad,370,58
taken,371,58
His,372,57
years,373,57
equal,374,57
degree,375,56
yourself,376,56
state,377,56
feeling,378,56
sense,379,56
aunt,380,56
making,381,56
To,382,56
return,383,56
walk,384,55
passed,385,55
CHAPTER,386,55
name,387,55
gave,388,54
business,389,54
cold,390,54
brought,391,54
leave,392,54
brother,393,54
nobody,394,54
hand,395,53
because,396,53
imagine,397,53
minutes,398,53
walked,399,52
talking,400,52
beyond,401,52
manners,402,52
eyes,403,51
directly,404,51
When,405,51
satisfied,406,51
natural,407,51
among,408,51
saying,409,51
usual,410,51
point,411,51
seeing,412,51
Very,413,51
exactly,414,51
care,415,51
bear,416,51
Campbell,417,51
agreeable,418,50
read,419,50
affection,420,50
So,421,50
rest,422,50
days,423,50
glad,424,50
used,425,49
appeared,426,49
words,427,49
Donwell,428,49
wonder,429,49
Such,430,49
As,431,49
Taylor,432,48
means,433,48
attachment,434,48
society,435,48
wished,436,48
these,437,48
dinner,438,47
interest,439,47
girl,440,47
took,441,47
door,442,47
pleased,443,47
voice,444,47
allow,445,47
believed,446,46
near,447,46
son,448,46
giving,449,46
went,450,46
speaking,451,46
against,452,46
